RSSI,IOT,MCS,CQI,RSRP,RSRQ,BW_Utilization (%),RB_Allocation,UE_Status,QoS_Class,Beamforming,Traffic_Load (kbps),Latency (ms),Backhaul_Status,Mobility,Frequency_Layer,Network_Slice,Handover_Metrics (ms),Retransmission_Rate (%),NFV_Status,Physical_Cell_ID,Active_Features,Energy_Consumption (Watts),UE_Demand (kbps),Current_Resource_Allocation (%),Channel_Conditions
-117,-85,18,6,-97,-4,100.0,7,connected,8,23,3985,20,0,high-speed,sub-6 GHz,4,59,1.6684990554095718,1,262,MIMO,193,12218,58.12106855619922,3
-118,-42,19,6,-101,-15,50.686485903287085,253,connected,1,11,13735,88,1,stationary,sub-6 GHz,4,4,15.177408368245178,0,391,MIMO,285,6720,59.89683757541327,10
-120,-15,6,1,-98,-18,37.400584601331516,66,connected,9,6,4970,67,0,stationary,millimeter wave,4,435,8.0292490670588,1,160,None,361,14162,52.59507857542576,8
-111,-52,5,4,-74,-5,80.48702396498035,124,handover,4,50,12298,91,1,stationary,millimeter wave,1,194,12.78429123485115,0,8,MIMO,224,11233,54.70508652961951,6
-73,-66,9,10,-133,-7,100.0,96,idle,4,54,15156,37,1,high-speed,sub-6 GHz,4,247,11.39659781286204,1,373,carrier aggregation,34,9974,41.93692296760013,6
-71,-75,0,8,-111,-14,82.39718961263327,86,connected,8,53,9024,91,0,high-speed,millimeter wave,0,189,4.8972241392267115,1,72,carrier aggregation,469,8726,16.81142307689809,4
-104,-8,0,4,-106,-20,0.4476073522775148,199,connected,9,58,4895,86,1,stationary,sub-6 GHz,1,43,8.881128813749527,1,104,carrier aggregation,457,13095,37.17030184039083,5
-88,-59,30,4,-115,-14,44.365870208624145,18,connected,2,18,11234,101,0,high-speed,millimeter wave,3,385,13.617871101061553,0,440,carrier aggregation,262,9911,7.953633403727811,8
-94,-93,12,11,-101,-11,88.81188744373263,259,idle,3,24,5469,47,0,stationary,sub-6 GHz,0,251,22.551338490253755,1,8,MIMO,310,13384,93.66959154331568,4
-118,-94,15,15,-118,-19,49.996210988587556,202,connected,5,57,8365,102,0,high-speed,sub-6 GHz,4,265,1.2590053509478794,1,183,carrier aggregation,68,6773,34.79520058903331,7
-109,-94,17,5,-117,-16,89.62888177872496,229,connected,3,7,3981,67,1,stationary,millimeter wave,4,52,3.97688185268519,0,100,MIMO,136,7926,59.108175548831056,5
-92,-100,31,6,-110,-9,97.57600733915962,204,connected,0,59,7146,44,1,high-speed,millimeter wave,4,103,5.130647490590672,0,65,None,107,6707,90.54211094800053,7
-102,-73,24,1,-79,-4,42.34464948194903,227,connected,9,0,5760,105,0,stationary,millimeter wave,2,337,4.259787253020251,1,34,carrier aggregation,354,7001,65.9954141563122,7
-104,-73,9,5,-86,-11,88.85810232521231,77,connected,1,54,7052,44,0,high-speed,sub-6 GHz,1,340,13.224054533939238,1,114,MIMO,130,9177,56.71018850197596,4
-83,-42,31,8,-91,-15,94.72792972463867,23,connected,5,59,5869,36,0,high-speed,millimeter wave,1,102,12.628748222603189,0,199,None,304,4806,71.79889533519854,10
-98,-82,6,13,-104,-15,15.856592427128353,66,handover,4,2,6319,119,1,stationary,millimeter wave,4,167,7.387663295242337,0,123,carrier aggregation,185,8610,20.60590634618493,10
-78,-21,1,6,-75,-4,41.02379988772513,99,connected,8,47,10620,39,1,high-speed,sub-6 GHz,0,488,20.377867946959277,1,86,carrier aggregation,50,9136,36.730112889704415,10
-83,-93,19,13,-73,-9,38.97906038645552,186,connected,0,40,10860,110,0,high-speed,sub-6 GHz,4,7,11.600993749491941,1,269,MIMO,297,2863,17.561838936170126,9
-77,-92,27,11,-78,-7,40.87109386906366,194,connected,7,61,14086,112,0,high-speed,sub-6 GHz,0,450,8.355054631249825,1,199,None,436,2736,15.788717247032636,3
-85,-60,11,6,-100,-8,24.19893287431089,76,connected,5,35,12595,53,1,high-speed,millimeter wave,2,279,13.499417598068325,1,419,MIMO,49,13309,94.42349558187323,9
-80,-48,17,1,-92,-17,56.91334142332288,99,connected,5,33,2938,102,0,high-speed,sub-6 GHz,1,83,17.30157605587776,1,14,None,192,3952,4.485714912849071,1
-83,-66,11,15,-79,-5,66.07742732214547,105,connected,2,52,8470,99,1,stationary,sub-6 GHz,1,379,3.9610561532792956,1,105,MIMO,166,6804,11.980269320092496,10
-88,-81,18,11,-76,-17,20.2480573670435,261,idle,8,54,5753,99,1,high-speed,millimeter wave,2,32,10.088654313134464,1,93,None,338,11073,22.475479545414434,3
-78,-41,30,2,-105,-17,10.666637484818496,174,connected,7,16,4796,78,1,stationary,millimeter wave,4,347,4.601602509310479,1,337,carrier aggregation,359,9382,2.02955927536137,10
-103,-76,26,15,-72,-19,94.24831650427006,269,handover,6,39,9551,95,1,stationary,sub-6 GHz,2,406,9.400735018118002,0,108,carrier aggregation,437,5281,13.335071690277921,8
-81,-78,13,3,-106,-20,54.31770770609765,245,connected,9,59,7215,109,1,high-speed,millimeter wave,2,175,4.878721326083378,1,77,MIMO,257,11058,4.940107042708841,1
-79,-88,18,1,-89,-13,66.72236835003963,47,connected,4,51,13419,44,0,stationary,sub-6 GHz,1,369,13.391814117713537,0,37,MIMO,130,11744,52.40957459644924,2
-87,-87,10,3,-110,-9,91.03136348145655,232,idle,1,49,12664,63,1,high-speed,sub-6 GHz,1,104,8.05650511902462,1,283,MIMO,365,4323,36.742352794006194,0
-97,-50,12,9,-118,-15,86.46818579180037,241,connected,0,21,7715,104,0,stationary,millimeter wave,1,178,9.00781710398957,0,63,MIMO,56,8344,73.16037364577879,10
-85,-88,7,15,-123,-20,49.74126173872463,248,connected,5,25,5910,57,0,stationary,millimeter wave,3,479,11.016043452959009,0,253,MIMO,272,13363,42.669566588442635,9
-75,-61,0,4,-91,-11,75.25645784713171,95,connected,8,40,10723,87,0,stationary,sub-6 GHz,2,135,12.20182309178146,1,34,MIMO,122,4871,19.17861458555533,6
-110,-19,22,3,-80,-13,100.0,250,connected,4,0,9584,115,0,stationary,sub-6 GHz,2,97,10.977805773739318,0,289,carrier aggregation,498,6698,39.57190142519645,9
-109,-65,1,13,-89,-18,80.1454297530803,195,connected,2,46,9589,81,1,stationary,sub-6 GHz,1,376,16.587407057680704,0,319,None,438,11545,0.406595590265435,7
-94,-48,19,3,-126,-7,72.084324687413,101,connected,1,60,10950,83,0,high-speed,sub-6 GHz,2,264,23.693736143616366,1,410,MIMO,361,3948,45.950560199811605,7
-94,-49,6,15,-95,-13,29.45284301398773,260,connected,8,62,10509,100,0,high-speed,sub-6 GHz,4,33,6.420808274749583,1,274,None,45,5513,67.8394953489337,9
-80,-53,31,6,-80,-18,65.86606872755091,232,connected,6,12,9218,120,0,high-speed,millimeter wave,1,253,8.172966520075606,0,492,carrier aggregation,68,11786,85.86944648562267,2
-111,-66,9,5,-124,-10,100.0,27,connected,6,16,8279,43,0,high-speed,millimeter wave,2,27,10.21249643713593,0,325,carrier aggregation,377,9315,39.039114180992904,6
-91,-29,26,9,-127,-17,64.95091506967924,118,connected,8,12,11669,99,0,stationary,millimeter wave,2,441,17.169290641150916,1,325,carrier aggregation,18,12781,60.83799957510499,7
